"JAVA-LIB","VERSION","RELEASED","LATEST_VERSION","LAST_CHECK","SOURCE","STATUS","COMMENT","ACTION"
"viewservlets-4.4.1.migrated.jar","4.4.1",2014,"4.5.0",2022-03-16,"https://mvnrepository.com/artifact/org.eclipse.birt.runtime/viewservlets","no known vulnerability","component of BIRT runtime",
"ws-commons-util-1.0.2.migrated.jar","1.0.2",2007,"1.0.2",2022-03-16,"https://mvnrepository.com/artifact/org.apache.ws.commons.util/ws-commons-util","latest release","utility classes for highspeed XML processing based on SAX",
"wsdl4j-1.6.1.migrated.jar","1.6.1",2006,"1.6.3",2022-03-16,"https://mvnrepository.com/artifact/wsdl4j/wsdl4j","no known vulnerability","stub generator for WSDL",
"xmlrpc-client-3.1.3.migrated.jar","3.1.3",2010,"3.1.3",2022-03-16,"https://mvnrepository.com/artifact/org.apache.xmlrpc/xmlrpc-client","latest release","XML RPC client library",
"xmlrpc-common-3.1.3.migrated.jar","3.1.3",2010,"3.1.3",2022-03-16,"https://mvnrepository.com/artifact/org.apache.xmlrpc/xmlrpc-common","latest release","XML RPC common library",
"xmlrpc-server-3.1.3.migrated.jar","3.1.3",2010,"3.1.3",2022-03-16,"https://mvnrepository.com/artifact/org.apache.xmlrpc/xmlrpc-server","latest release","XML RPC server library",
"xmlschema-core-2.2.2.migrated.jar","2.2.2",2017,"2.3.0",2022-03-16,"https://mvnrepository.com/artifact/org.apache.ws.xmlschema/xmlschema-core","no known vulnerability","schema object model to generate and manipulate XML schema",
"xws-security-2.0-FCS.migrated.jar","2.0-FCS",2007,"3.0.1",2022-03-16,"https://mvnrepository.com/artifact/com.sun.xml.wss/xws-security","no known vulnerability",,
"zip4j-2.10.0.jar","2.10.0",2022,"2.10.0",2022-03-31,"https://mvnrepository.com/artifact/net.lingala.zip4j/zip4j","latest release","library for ZIP files and streams",
"zxing-core-3.5.0","3.5.0",2022,"3.5.0",2022-08-11,"https://mvnrepository.com/artifact/com.google.zxing/core","latest release","barcode encoding/decoding library",
,,,,,,,,
"JS-LIB","VERSION","RELEASED","LATEST_VERSION","LAST_CHECK","SOURCE","STATUS","COMMENT","ACTION"
"ace.js","1.4.14",2022,"1.4.14",2022-04-25,"https://github.com/ajaxorg/ace-builds/tags","latest release","HTML editor",
"bootstrap-*-3.4.1.js","3.4.1",2019,"4.6.0",2022-03-16,"https://getbootstrap.com/docs/versions/","EOL in 2019","framework for visual UI design","update to 5 (EMM-9366)"
"ckeditor-4.16.0.js","4.18.0",2022,"4.18.0",2022-03-31,"https://ckeditor.com/cke4/release-notes","latest release","WYSIWYG editor",
"jquery-3.5.1.js","3.5.1",2020,"3.6.0",2022-03-16,"https://blog.jquery.com/2021/03/02/jquery-3-6-0-released/",,"JS library to manipulate HTML based web pages",
"jquery-ui-1.13.1.js","1.13.1",2022,"1.13",2022-05-23,"https://jqueryui.com/","latest release","UI extension for jQuery",
"lodash-4.17.21.js","4.17.21",2021,"4.17.21",2022-03-28,"https://github.com/lodash/lodash/wiki/Changelog","latest release","JS library with utility functions",
